Asset_ID,Asset_Name,Category,NFT_Tier,Faction,Biome,Rarity,Base_Prompt,Negative_Prompt,Style_Keywords,Primary_Color_Hex,Secondary_Color_Hex,Accent_Color_Hex,Resolution,Format,Animation_States,Direction_Count,Frame_Count,Stage1_Status,Stage2_Status,Stage3_Status,Stage4_Status,Stage5_Status,Stage6_Status,Stage7_Status,Quality_Rating,Approval_Status,Priority,Production_Week,Notes,Stage1_Est_Cost,Stage1_Act_Cost,Stage1_Service,Stage2_Est_Cost,Stage2_Act_Cost,Stage2_Service,Stage3_Est_Cost,Stage3_Act_Cost,Stage3_Service,Stage4_Est_Cost,Stage4_Act_Cost,Stage4_Service,Stage5_Est_Cost,Stage5_Act_Cost,Stage5_Service,Stage6_Est_Cost,Stage6_Act_Cost,Stage6_Service,Stage7_Est_Cost,Stage7_Act_Cost,Stage7_Service,Total_Est_Cost,Total_Act_Cost,Cost_Variance,Cost_Variance_Pct,Base_Value,Market_Value_Est,Mint_Price_Target,Cost_Per_Variant,ROI_Multiplier,Pipeline_Start,Pipeline_End,Duration_Minutes
HERO_DW_001,General Whiskers,Hero,Heroes,Sand_Vanguard,Desert_Wastes,Legendary,"Post-apocalyptic anthropomorphic cat general, heavy salvaged scrap armor with desert camouflage patterns, commanding presence, battle-worn veteran, cybernetic eye implant, tactical vest with ammunition, dust-weathered fur, military insignia, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, battle-worn, salvaged tech, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#C4A35A,#8B4513,#FFD700,1024x1024,PNG,"t-pose,idle,walk,attack,ability1,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P0,5,Founder hero - requires special attention to detail,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,1500.00,1050.00,0.0010,375000.00,,,
HERO_DW_002,Sandstorm Scout,Hero,Heroes,Sand_Vanguard,Desert_Wastes,Epic,"Post-apocalyptic anthropomorphic cat scout, light salvaged armor for speed, desert camouflage cloak, goggles on forehead, dual daggers, agile build, sand-colored fur with darker markings, reconnaissance gear, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, agile warrior, salvaged tech, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#C4A35A,#8B4513,#FFD700,1024x1024,PNG,"t-pose,idle,walk,attack,ability1,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P1,6,Speed-focused hero,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,750.00,525.00,0.0010,187500.00,,,
HERO_DW_003,Dune Medic,Hero,Heroes,Sand_Vanguard,Desert_Wastes,Epic,"Post-apocalyptic anthropomorphic cat medic, medical salvaged gear with red cross markings, desert robes over light armor, medical satchel, healing staff with tech components, gentle expression, caring posture, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, healer archetype, salvaged tech, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#C4A35A,#8B4513,#FFD700,1024x1024,PNG,"t-pose,idle,walk,heal,ability1,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P1,7,Support hero - healing abilities,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,750.00,525.00,0.0010,187500.00,,,
HERO_DW_004,Wasteland Engineer,Hero,Heroes,Sand_Vanguard,Desert_Wastes,Rare,"Post-apocalyptic anthropomorphic cat engineer, heavy tool belt, welding goggles, mechanical arm prosthetic, blueprint scrolls, salvaged tech backpack, grease-stained fur, building equipment, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, tech specialist, salvaged tech, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#C4A35A,#8B4513,#FFD700,1024x1024,PNG,"t-pose,idle,walk,build,ability1,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P2,8,Builder/support hero,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,375.00,262.50,0.0010,93750.00,,,
HERO_DW_005,Sandcat Berserker,Hero,Heroes,Sand_Vanguard,Desert_Wastes,Rare,"Post-apocalyptic anthropomorphic cat berserker, minimal heavy armor on shoulders and legs, massive two-handed salvaged blade, battle scars across face and body, wild mane, rage-filled expression, muscular build, tribal markings, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, berserker warrior, salvaged tech, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#C4A35A,#8B4513,#FFD700,1024x1024,PNG,"t-pose,idle,walk,attack,rage,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P2,9,Melee damage dealer,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,375.00,262.50,0.0010,93750.00,,,
HERO_VL_001,Ember Lord,Hero,Heroes,Cinder_Forgers,Volcanic_Lands,Legendary,"Post-apocalyptic anthropomorphic cat fire lord, obsidian-forged armor with glowing magma veins, flame crown, volcanic staff with molten core, glowing orange eyes, ash-darkened fur with ember highlights, imposing presence, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, fire elemental, volcanic power, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#1C1C1C,#FF4500,#FF6B35,1024x1024,PNG,"t-pose,idle,walk,attack,ability1,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P0,10,Volcanic faction leader,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,1500.00,1050.00,0.0010,375000.00,,,
HERO_VL_002,Magma Smith,Hero,Heroes,Cinder_Forgers,Volcanic_Lands,Epic,"Post-apocalyptic anthropomorphic cat blacksmith, heavy forge apron, massive hammer with molten head, cybernetic arm resistant to heat, soot-covered fur, protective goggles, muscular forge-worker build, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, forge master, volcanic power, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#1C1C1C,#FF4500,#FF6B35,1024x1024,PNG,"t-pose,idle,walk,attack,forge,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P1,11,Crafting hero,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,750.00,525.00,0.0010,187500.00,,,
HERO_VL_003,Ash Dancer,Hero,Heroes,Cinder_Forgers,Volcanic_Lands,Epic,"Post-apocalyptic anthropomorphic cat acrobat, light heat-resistant armor, twin flame daggers, agile dancer build, ember trails from movement, graceful pose, ash-gray fur with orange tips, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, agile assassin, volcanic power, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#1C1C1C,#FF4500,#FF6B35,1024x1024,PNG,"t-pose,idle,walk,attack,dash,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P1,12,Agility DPS hero,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,750.00,525.00,0.0010,187500.00,,,
HERO_VL_004,Cinder Shaman,Hero,Heroes,Cinder_Forgers,Volcanic_Lands,Rare,"Post-apocalyptic anthropomorphic cat shaman, volcanic ritual robes, obsidian staff with floating embers, mystical markings glowing orange, spiritual presence, ancient wisdom expression, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, mystical caster, volcanic power, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#1C1C1C,#FF4500,#FF6B35,1024x1024,PNG,"t-pose,idle,walk,cast,ability1,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P2,13,Magic support hero,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,375.00,262.50,0.0010,93750.00,,,
HERO_VL_005,Lava Tank,Hero,Heroes,Cinder_Forgers,Volcanic_Lands,Rare,"Post-apocalyptic anthropomorphic cat tank warrior, extremely heavy obsidian plate armor, massive volcanic shield, molten core chest plate, unstoppable presence, bulky defensive build, T-pose with arms extended horizontally at shoulder height, front facing view, full body visible head to feet, standing upright bipedal stance, GREEN BACKGROUND, professional game asset, MUST HAVE A COMPLETE GREEN SCREEN BACKGROUND with NO fx, bg with no environment, bg with no visible ground","blurry, low quality, watermark, text, logo, deformed, ugly, bad anatomy, extra limbs, missing limbs, floating limbs, disconnected limbs, mutation, mutated, disfigured, poorly drawn face, cloned face, gross proportions, malformed limbs, extra fingers, fused fingers, too many fingers, long neck, signature, username, error, cropped, worst quality, jpeg artifacts, lowres, bad proportions, out of frame, duplicate, morbid, mutilated, extra arms, extra legs, grayscale, monochrome, oversaturated, undersaturated","post-apocalyptic, dark fantasy, tank defender, volcanic power, gritty realism, cinematic lighting, 45-degree top-right light source, detailed textures, game-ready asset",#1C1C1C,#FF4500,#FF6B35,1024x1024,PNG,"t-pose,idle,walk,block,taunt,ability2,death",8,72,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,PENDING,P2,14,Tank/defender hero,0.0040,,runpod_sdxl,0.0000,,bria_rmbg,0.0000,,pil_lanczos,0.0000,,meshy_free,0.0000,,blender_local,0.0000,,pil_local,0.0000,,pil_local,0.0040,,,,50.00,375.00,262.50,0.0010,93750.00,,,
